Umag,Ts,Ta,alphan,sigmat,theta,phi,panang,Cd
6.236291000000000167e+03,2.829639999999999986e+02,1.007547000000000025e+03,5.017443999999999793e-01,1.406266999999999934e-01,-1.234966999999999926e+00,-1.432644000000000029e+00,3.000000000000000000e+01,2.201084999999999958e+00
7.734011999999998807e+03,4.388965999999999781e+02,1.522817000000000007e+03,8.492463999999998459e-01,2.543194999999999761e-01,2.832886999999999933e+00,1.341202000000000005e+00,9.000000000000000000e+01,2.373707000000000011e+00
5.897756999999999607e+03,2.571553000000000111e+02,1.098398999999999887e+03,5.593515999999999766e-02,5.199120999999999881e-01,1.096103999999999967e-01,9.060551000000000021e-01,2.000000000000000000e+01,1.899024000000000045e+00
7.171465000000000146e+03,3.482142999999999802e+02,3.050063000000000102e+02,9.969293000000000182e-01,6.706929000000000363e-01,-2.807443000000000133e+00,-1.368543000000000065e+00,1.000000000000000000e+01,1.024848999999999899e+00
9.354400999999999840e+03,1.423177000000000021e+02,1.627500000000000000e+03,4.172025999999999790e-01,1.485514000000000001e-01,-1.115421999999999914e+00,5.510346000000000410e-01,7.000000000000000000e+01,1.839890000000000025e+00
9.240211999999999534e+03,3.582049000000000092e+02,1.883786000000000058e+03,9.313211000000000128e-01,9.557407000000001096e-01,3.110379000000000005e+00,8.031593999999998568e-01,8.000000000000000000e+01,1.655318000000000067e+00
8.739632999999999811e+03,3.105880000000000223e+02,5.050353999999999814e+02,1.332725999999999911e-01,5.241689999999999960e-01,7.806575999999998405e-01,1.413631000000000082e+00,2.000000000000000000e+01,2.009608000000000061e+00
6.938353000000000065e+03,2.420005999999999915e+02,6.048962000000000216e+02,6.401645000000000252e-01,6.583784000000000303e-01,-2.204543000000000141e+00,1.170271999999999979e-01,8.000000000000000000e+01,8.310090999999998340e-01
7.371922999999997955e+03,4.646073000000000093e+02,3.035620000000000118e+02,8.980194000000000232e-01,4.971778000000000031e-01,2.194932999999999801e+00,7.194994999999999585e-01,4.000000000000000000e+01,3.053783999999999832e+00
7.408421999999998661e+03,2.126499000000000024e+02,1.581705999999999904e+03,8.259229999999998517e-01,3.499495000000000244e-01,6.342250000000000387e-01,-1.012591000000000019e+00,9.000000000000000000e+01,2.440284000000000120e+00
9.013102999999999156e+03,1.401062000000000012e+02,7.624166999999999916e+02,7.726210000000000022e-01,1.757509999999999906e-01,2.228454999999999853e+00,-8.194658000000000220e-01,9.000000000000000000e+01,2.007185999999999915e+00
8.632709000000000742e+03,3.197318000000000211e+02,8.349099999999998545e+02,4.765891999999999906e-01,3.162526999999999977e-01,-2.017262999999999806e+00,-7.615020000000000122e-01,7.000000000000000000e+01,1.877467999999999915e+00
6.389621000000000095e+03,4.745414000000000101e+02,6.214403999999999542e+02,1.275383999999999962e-01,6.705518000000000312e-01,2.145703999999999834e+00,-1.211575999999999986e+00,0.000000000000000000e+00,2.102043000000000106e+00
7.288015000000000327e+03,2.230983999999999980e+02,1.079596999999999980e+03,1.028242999999999935e-01,6.737332000000000320e-01,-9.255027999999999588e-01,-2.698459999999999748e-01,0.000000000000000000e+00,2.644179999999999975e+00
8.312934999999997672e+03,4.444205999999999790e+02,1.342730999999999995e+03,8.182479000000000280e-01,7.951068999999998110e-02,-2.264869000000000021e+00,-2.643464999999999843e-01,5.000000000000000000e+01,5.230439999999999534e-01
7.543621000000000095e+03,2.291426999999999907e+02,1.803236000000000104e+03,4.727388000000000146e-01,9.172240999999999866e-01,-2.131451000000000207e+00,1.229953999999999992e+00,2.000000000000000000e+01,3.205820000000000114e+00
8.585045000000000073e+03,3.815609999999999786e+02,3.934913000000000238e+02,5.611680000000000001e-01,7.187616999999999479e-01,-2.236814999999999998e+00,1.343436999999999992e+00,4.000000000000000000e+01,3.745541999999999927e+00
5.865284999999999854e+03,1.342141000000000020e+02,4.232137999999999920e+02,2.993932999999999733e-01,1.610623999999999945e-01,2.042914999999999870e-01,1.269665999999999961e+00,5.000000000000000000e+01,1.737657000000000007e+00
7.348432999999999993e+03,4.425665000000000191e+02,1.927008000000000038e+03,7.601253000000000037e-01,3.406466000000000216e-01,-7.937092999999998399e-01,2.418000999999999900e-01,3.000000000000000000e+01,1.848065999999999987e+00
6.715324999999999818e+03,1.429573000000000036e+02,1.035765000000000100e+03,1.614790999999999865e-01,1.995052999999999965e-01,-1.586770999999999932e+00,3.529796000000000045e-01,5.000000000000000000e+01,2.398762000000000061e+00
8.904531999999999243e+03,1.144240000000000066e+02,1.426397999999999911e+03,4.773823999999999845e-01,6.047289999999999610e-01,-3.666614999999999736e-01,1.058942999999999968e+00,3.000000000000000000e+01,2.080563000000000162e+00
6.023038999999999760e+03,3.317540999999999940e+02,1.498276000000000067e+03,6.927229000000000025e-02,8.494768999999998682e-01,-1.090419000000000027e+00,2.966612000000000138e-01,8.000000000000000000e+01,3.105058999999999791e+00
8.033960000000000036e+03,4.867604000000000042e+02,5.814864000000000033e+02,7.757764000000000326e-01,2.751129999999999964e-01,1.658537999999999957e-01,1.016116000000000019e+00,4.000000000000000000e+01,1.345504000000000033e+00
8.213625000000000000e+03,2.231912000000000091e+02,1.596741999999999962e+03,7.327837000000000378e-01,5.657086999999999533e-01,2.558256000000000085e+00,1.256925000000000070e+00,2.000000000000000000e+01,3.124540999999999791e+00
5.952344000000000051e+03,3.330962000000000103e+02,1.997251999999999953e+03,1.895473000000000019e-01,6.095302999999999694e-01,5.415497000000000227e-01,-8.579976999999998633e-01,4.000000000000000000e+01,3.169944999999999791e+00
7.143104000000000269e+03,1.520627000000000066e+02,3.723752999999999815e+02,9.262038000000000215e-01,9.458081999999999878e-01,1.700603000000000087e+00,-1.316983000000000015e+00,5.000000000000000000e+01,3.451735000000000220e+00
7.530731999999999971e+03,1.661968999999999994e+02,8.402685999999999922e+02,3.201940999999999815e-02,4.810441999999999774e-01,-1.070564000000000071e+00,-9.078747999999999818e-01,6.000000000000000000e+01,3.791262000000000132e+00
9.197245999999999185e+03,4.327927000000000248e+02,3.195000999999999749e+02,1.114126000000000005e-01,9.818584999999999674e-01,2.436071000000000097e+00,2.128112000000000059e-01,1.000000000000000000e+01,3.272168999999999883e+00
8.486578999999997905e+03,3.306745999999999981e+02,1.058901000000000067e+03,2.759278000000000008e-01,7.109750000000000236e-01,-1.681464000000000070e+00,-1.775363000000000080e-01,9.000000000000000000e+01,2.963772000000000073e+00
8.814583000000000538e+03,1.423824999999999932e+02,1.648586999999999989e+03,7.858102000000000142e-01,8.917745999999998618e-01,-7.896066000000000196e-02,5.071584999999999566e-01,4.000000000000000000e+01,2.202465999999999813e+00
9.210936999999999898e+03,4.611524999999999750e+02,5.618786999999999807e+02,9.073337999999999681e-01,4.195186000000000054e-03,-2.212849999999999984e+00,-9.564048000000000549e-01,4.000000000000000000e+01,6.697360999999999454e-01
7.658322000000000116e+03,3.620319999999999823e+02,1.644117999999999938e+03,1.317985999999999880e-01,9.393511999999999695e-02,2.631600999999999857e+00,-2.294594999999999968e-02,2.000000000000000000e+01,2.710167999999999910e+00
7.555824999999999818e+03,3.503582999999999856e+02,1.446304000000000087e+03,8.739287000000000027e-01,9.211806000000000161e-01,-2.457698999999999856e+00,-1.061638000000000082e+00,0.000000000000000000e+00,2.139782999999999991e+00
6.097345000000000255e+03,4.618765999999999963e+02,1.567354000000000042e+03,2.768127000000000226e-01,4.169525000000000037e-01,-9.273053000000001100e-01,4.946645000000000070e-01,1.000000000000000000e+01,2.027222000000000079e+00
6.425792999999999665e+03,2.085769999999999982e+02,1.538428000000000111e+03,5.659319000000000432e-01,1.480357999999999952e-01,-1.831860999999999962e+00,6.852247000000000199e-01,6.000000000000000000e+01,2.530562999999999896e+00
5.846703999999999724e+03,2.830962000000000103e+02,1.547637999999999920e+03,1.904299999999999882e-01,6.755889000000000477e-01,2.595321999999999907e+00,5.980505000000000404e-01,0.000000000000000000e+00,2.541058000000000039e+00
6.994519000000000233e+03,2.886526999999999816e+02,1.140973999999999933e+03,9.785047000000000050e-01,6.914593999999999463e-01,3.066211000000000020e+00,-2.626147999999999816e-01,1.000000000000000000e+01,1.974015999999999993e+00
8.186721999999998843e+03,1.603190999999999917e+02,1.147442000000000007e+03,2.996725000000000083e-01,1.199682999999999999e-01,-2.934597999999999818e+00,1.415269000000000110e+00,5.000000000000000000e+01,2.982953999999999883e+00
5.923163999999999760e+03,4.604866999999999848e+02,1.199241999999999962e+03,1.998566999999999982e-01,2.268178999999999890e-01,-1.625583999999999918e+00,1.147154000000000007e+00,1.000000000000000000e+01,1.642903999999999920e+00
6.486868000000000393e+03,4.799581999999999766e+02,5.169107000000000198e+02,7.066995999999999833e-01,9.804055000000000408e-01,-1.553118999999999916e+00,1.117552000000000101e+00,5.000000000000000000e+01,3.851068999999999853e+00
7.721489999999997963e+03,4.281025999999999954e+02,1.229910000000000082e+03,6.057439999999999491e-01,4.256306000000000256e-01,-1.422862000000000071e+00,1.144965000000000011e+00,2.000000000000000000e+01,1.723999999999999977e+00
5.984475000000000364e+03,3.791129000000000246e+02,1.649643000000000029e+03,5.418448000000000153e-01,4.406417000000000250e-01,2.187021999999999800e+00,9.749446000000000501e-01,8.000000000000000000e+01,2.955143000000000075e+00
6.852104999999999563e+03,4.861990000000000123e+02,1.235247000000000071e+03,9.418564000000000103e-02,8.782782999999998452e-01,-6.969535000000000036e-01,-7.801483000000000168e-01,9.000000000000000000e+01,3.150532000000000110e+00
5.781435000000000400e+03,1.039235000000000042e+02,3.716985000000000241e+02,4.496369000000000060e-02,1.708350999999999897e-01,2.278560999999999837e+00,1.205182999999999893e+00,0.000000000000000000e+00,1.575725000000000042e+00
5.530202000000000226e+03,4.965878000000000156e+02,1.785431000000000040e+03,9.217715999999999410e-02,6.945708000000000437e-01,1.429675000000000029e+00,8.946001999999998455e-01,1.000000000000000000e+01,2.264707000000000026e+00
8.487245999999999185e+03,4.581116000000000099e+02,1.637086999999999989e+03,9.654527000000000525e-01,8.273352000000000483e-01,2.423353000000000090e+00,-1.490052000000000043e-01,9.000000000000000000e+01,1.074985000000000079e+00
9.171379999999999200e+03,2.045044000000000040e+02,1.683736000000000104e+03,1.027582999999999969e-01,4.643757000000000024e-01,-7.654469999999997942e-02,1.146964000000000095e+00,2.000000000000000000e+01,2.125522999999999829e+00
7.657619999999999891e+03,3.389533000000000129e+02,6.328609000000000151e+02,7.304152999999999896e-01,7.444522000000000084e-01,1.044313999999999965e+00,-1.436534999999999895e+00,6.000000000000000000e+01,4.055004000000000275e+00
7.525341000000000349e+03,4.825597999999999956e+02,3.461496000000000208e+02,9.571336999999999762e-01,6.908389999999999809e-01,-1.201840999999999937e+00,-5.605828000000000477e-01,4.000000000000000000e+01,2.183660999999999852e+00
6.278847999999999956e+03,2.348782999999999959e+02,5.083224999999999909e+02,4.227834999999999788e-01,3.884893999999999847e-01,-8.986570000000000391e-01,-1.245762999999999954e+00,5.000000000000000000e+01,3.671227000000000018e+00
7.127292999999999665e+03,2.827980999999999767e+02,1.380076000000000022e+03,7.134260999999999520e-01,4.639590000000000103e-01,-2.064522999999999886e+00,1.768138999999999961e-01,4.000000000000000000e+01,2.369022000000000183e+00
7.334162000000000262e+03,3.005631999999999948e+02,1.140960000000000036e+03,9.016334000000000293e-01,7.371425000000000338e-01,-1.323906000000000027e+00,9.077140000000000208e-01,4.000000000000000000e+01,2.116532999999999998e+00
5.749576000000000022e+03,3.113281000000000063e+02,1.765307999999999993e+03,6.646623999999999866e-01,1.032132000000000049e-01,1.069976000000000038e+00,-1.140287999999999968e+00,8.000000000000000000e+01,3.799253000000000213e+00
6.596612000000000080e+03,2.232487000000000137e+02,1.868734999999999900e+03,6.787853999999999832e-01,6.615155000000000340e-01,1.493414000000000019e+00,-8.895094999999998420e-01,2.000000000000000000e+01,2.159120000000000150e+00
6.841703999999999724e+03,4.915445000000000277e+02,1.388412000000000035e+03,1.638139999999999874e-01,7.163471999999999618e-01,3.119896999999999920e+00,-1.407424999999999926e+00,2.000000000000000000e+01,1.729659999999999975e+00
9.148849000000000160e+03,1.278462999999999994e+02,5.289326999999999543e+02,1.548278999999999905e-01,4.776608999999999994e-01,-2.481592000000000020e+00,1.245104999999999906e+00,7.000000000000000000e+01,4.851441000000000336e+00
5.878136000000000422e+03,3.567255999999999858e+02,7.734188000000000329e+02,4.492431000000000063e-01,9.067621999999999627e-01,-2.073859000000000119e+00,-6.009192000000000006e-02,3.000000000000000000e+01,2.619699999999999918e+00
5.843337000000000444e+03,2.164209999999999923e+02,8.964841000000000122e+02,4.556948000000000110e-01,5.811121000000000203e-01,-2.571819000000000077e+00,1.173014000000000001e+00,7.000000000000000000e+01,4.265738999999999947e+00
7.534345000000000255e+03,4.873903000000000247e+02,3.372744999999999891e+02,1.084307000000000049e-01,9.786192000000000224e-01,-9.283822000000000463e-01,1.439961999999999964e+00,3.000000000000000000e+01,2.995232000000000117e+00
8.084743999999998778e+03,3.481181000000000267e+02,1.693442999999999984e+03,2.769925999999999777e-01,2.594098000000000237e-01,-1.468801999999999941e+00,1.190096000000000043e+00,3.000000000000000000e+01,2.074206999999999912e+00
9.135628000000000611e+03,4.798906000000000063e+02,1.476034000000000106e+03,8.812929999999999930e-01,1.138442999999999955e-01,2.648947000000000163e+00,9.713233999999999480e-01,3.000000000000000000e+01,3.385803000000000118e+00
7.371720999999998639e+03,1.188935000000000031e+02,1.407848999999999933e+03,2.964788999999999897e-01,2.226101000000000052e-01,-1.045766999999999891e+00,-3.647792000000000256e-01,1.000000000000000000e+01,2.121442000000000050e+00
8.464472999999999956e+03,2.518316000000000088e+02,5.322617999999999938e+02,1.469370999999999872e-01,9.009576000000000251e-01,6.004138999999999449e-01,-3.307307999999999915e-01,4.000000000000000000e+01,3.119333999999999829e+00
